project,bugs,version,MAP_buglocator,MRR_buglocator,HIT1_buglocator,HIT5_buglocator,HIT10_buglocator,MAP_bluir,MRR_bluir,HIT1_bluir,HIT5_bluir,HIT10_bluir,MAP_brtracer,MRR_brtracer,HIT1_brtracer,HIT5_brtracer,HIT10_brtracer,MAP_amalgam,MRR_amalgam,HIT1_amalgam,HIT5_amalgam,HIT10_amalgam,MAP_blia,MRR_blia,HIT1_blia,HIT5_blia,HIT10_blia,MAP_locus,MRR_locus,HIT1_locus,HIT5_locus,HIT10_locus,MAP_blizzard,MRR_blizzard,HIT1_blizzard,HIT5_blizzard,HIT10_blizzard
smartshark_ant-ivy,374.0,6,0.39023840403075655,0.5077869647367639,0.3502673796791444,0.7032085561497327,0.8128342245989305,0.452082302172805,0.4474563351259666,0.32620320855614976,0.5935828877005348,0.6577540106951871,0.4416535783435009,0.5693341166658465,0.42780748663101603,0.7540106951871658,0.8556149732620321,0.13230852411712102,0.1655378754973503,0.09358288770053476,0.24598930481283424,0.32620320855614976,0.4711356048415982,0.5769277960628572,0.42780748663101603,0.7754010695187166,0.8556149732620321,0.37143791679002713,0.46496715808377,0.3315508021390374,0.6470588235294118,0.7540106951871658,0.3320156347663033,0.3296816522752351,0.0,0.7540106951871658,0.8877005347593583
smartshark_archiva,214.0,7,0.2052911653091217,0.31466524697557635,0.20093457943925233,0.4252336448598131,0.5607476635514018,0.3098105352868739,0.3013836761272668,0.19158878504672897,0.40654205607476634,0.5327102803738317,0.2356221149478965,0.32733935999238606,0.205607476635514,0.45794392523364486,0.5700934579439252,0.10745967079054997,0.1586161499509432,0.102803738317757,0.19626168224299065,0.2616822429906542,0.257066751911609,0.3263687450648624,0.2102803738317757,0.4719626168224299,0.5654205607476636,0.1791035182040603,0.26972743968776,0.16822429906542055,0.38317757009345793,0.514018691588785,0.283809639805134,0.28237919920162935,0.0,0.6401869158878505,0.780373831775701
smartshark_calcite,306.0,16,0.3620042183829619,0.5732552679119276,0.434640522875817,0.7483660130718954,0.8496732026143791,0.48238761231484856,0.48782767061910826,0.369281045751634,0.6339869281045751,0.7222222222222222,0.4091133198952593,0.6457614076625853,0.5228758169934641,0.8006535947712419,0.8790849673202614,0.08963892646831316,0.146583424302539,0.06535947712418301,0.24183006535947713,0.30718954248366015,0.41624651044312827,0.5932311077272687,0.46405228758169936,0.738562091503268,0.8921568627450981,0.3004524724079378,0.4751298379243028,0.3366013071895425,0.6503267973856209,0.7418300653594772,0.6614623308638827,0.6446540569089588,0.0,1.4607843137254901,1.6568627450980393
smartshark_cayenne,242.0,2,0.2899697725456043,0.4107857239463156,0.2809917355371901,0.5454545454545454,0.6570247933884298,0.3201813910600261,0.34968810003826106,0.24793388429752067,0.45867768595041325,0.5950413223140496,0.3136239740296635,0.439234970434741,0.3181818181818182,0.5785123966942148,0.7066115702479339,0.05774657458485371,0.08038210399285131,0.0371900826446281,0.1115702479338843,0.16115702479338842,0.29191716040802534,0.37804587229595643,0.24793388429752067,0.5578512396694215,0.6611570247933884,0.18250142555700444,0.2699036286496836,0.19834710743801653,0.3181818181818182,0.45041322314049587,0.3187401986213972,0.31490331294050317,0.0,0.7272727272727273,0.8842975206611571
smartshark_commons-bcel,28.0,6,0.33584164993031906,0.45029761904761906,0.35714285714285715,0.6071428571428571,0.6428571428571429,0.2557401750453046,0.2517857142857143,0.17857142857142858,0.35714285714285715,0.39285714285714285,0.32360482468937546,0.44165711739241154,0.35714285714285715,0.5357142857142857,0.5714285714285714,0.09384190501565412,0.1040304106107011,0.07142857142857142,0.17857142857142858,0.17857142857142858,0.3409080723288836,0.42603174603174604,0.35714285714285715,0.5,0.5714285714285714,0.2325459586615636,0.27925761084575673,0.17857142857142858,0.35714285714285715,0.4642857142857143,0.3430425427746856,0.3355313337456195,0.0,0.75,0.8928571428571429
smartshark_commons-beanutils,24.0,10,0.5158907203035112,0.708284892369944,0.625,0.7916666666666666,0.875,0.5492938289610566,0.6095522898154476,0.5416666666666666,0.625,0.8333333333333334,0.5168475966814687,0.7276041666666666,0.5833333333333334,0.9166666666666666,0.9583333333333334,0.08100850461806709,0.13681703481467716,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.6210003412582471,0.7096830618212198,0.625,0.8333333333333334,0.875,0.2607256306028991,0.3718954248366013,0.2916666666666667,0.5416666666666666,0.5416666666666666,0.6383229617604619,0.6267857142857144,0.0,1.5416666666666667,1.5833333333333333
smartshark_commons-codec,30.0,11,0.6604541908160482,0.8775,0.8,0.9666666666666667,1.0,0.6822524218346557,0.7600083542188805,0.7,0.8333333333333334,0.8333333333333334,0.6577109674282897,0.8727922077922077,0.8333333333333334,0.9333333333333333,0.9666666666666667,0.44008794195454176,0.4844515891663606,0.3333333333333333,0.6,0.7,0.8217460317460316,0.9333333333333333,0.8666666666666667,1.0,1.0,0.44642719589039354,0.5827635327635328,0.5,0.6666666666666666,0.7333333333333333,0.9981128747795414,0.973333333333333,0.0,2.2,2.2666666666666666
smartshark_commons-collections,41.0,9,0.20999088930644003,0.29471544715447157,0.2682926829268293,0.34146341463414637,0.34146341463414637,0.1924845110310366,0.23832752613240415,0.21951219512195122,0.2682926829268293,0.2682926829268293,0.2176340373226546,0.31149455111572394,0.2926829268292683,0.34146341463414637,0.34146341463414637,0.04981674677774868,0.06993705048538262,0.024390243902439025,0.14634146341463414,0.17073170731707318,0.22940315194566366,0.3125,0.2926829268292683,0.34146341463414637,0.34146341463414637,0.1366777146337244,0.15997238840312933,0.12195121951219512,0.21951219512195122,0.21951219512195122,0.4008310456481188,0.3863636363636364,0.0,0.8536585365853658,0.8780487804878049
smartshark_commons-compress,106.0,17,0.5894926556912107,0.7412589787292952,0.6132075471698113,0.9056603773584906,0.9716981132075472,0.5264092626597725,0.5791039057132287,0.49056603773584906,0.7075471698113207,0.7452830188679245,0.5803772992189439,0.7381843003989992,0.6037735849056604,0.9245283018867925,0.9528301886792453,0.14862954381090945,0.16756620799794744,0.07547169811320754,0.27358490566037735,0.4056603773584906,0.6981330861569376,0.7774183887391436,0.6320754716981132,0.9433962264150944,1.0,0.38059052214742267,0.5128393977990425,0.3584905660377358,0.6886792452830188,0.8207547169811321,0.49869871948207556,0.5064434779057422,0.0,1.0943396226415094,1.2075471698113207
smartshark_commons-configuration,123.0,14,0.5099772358121034,0.6675320534717951,0.5609756097560976,0.8130081300813008,0.8292682926829268,0.4958161858855505,0.5101897610864614,0.44715447154471544,0.5934959349593496,0.6341463414634146,0.5339818918315662,0.6867281995330776,0.5772357723577236,0.8292682926829268,0.8455284552845529,0.16381270345815407,0.23364224752814525,0.16260162601626016,0.3008130081300813,0.3821138211382114,0.5451576275568285,0.6993631586371234,0.6016260162601627,0.8292682926829268,0.8536585365853658,0.334939460297266,0.428548096744034,0.3089430894308943,0.6016260162601627,0.7317073170731707,0.4989539339386902,0.4776067879726418,0.0,1.048780487804878,1.089430894308943
